id	Precision	Recall	Truth	Predicted
P13-1038		0.0	cabrio & magnini 2011|lobue & yates 2011|davidov & rappoport 2010|aramaki & imai 2007|moriceau 2006|sammons & vydiswaran 2010	
C10-2078		0.0	boukobza & rappoport 2009|hashimoto & sato 2006|katz & giesbrecht 2006|finkel & grenager 2005|hashimoto & kawahara 2008|li & sporleder 2009|fazly & cook 2009|cook & fazly 2007|diab & bhutada 2009|birke & sarkar 2006|briscoe & carroll 2006	
W09-1607		0.0	lin & hovy 1997|lin 2004	
C96-1044		0.0	isabelle & dymetman 1988	
C04-1062		0.0	dowding & gawron 1993	
J13-1007		0.0	goldberg & tsarfaty 2009|jiang & huang 2009|cohen & smith 2007|adler & netzer 2008|tsarfaty 2006|petrov & barrett 2006|smith & smith 2005|petrov & klein 2007|candito & crabbe 2009|goldberg & elhadad 2011|lang 1988|collins & koo 2005|petrov & klein 2008|charniak & johnson 2005|tsarfaty & sima an 2007|rush & sontag 2010|goldberg & adler 2008|petrov 2010|adler & elhadad 2006|tsarfaty & sima an 2008|matsuzaki & miyao 2005|huang & harper 2009|billott & lang 1989|klein & manning 2003|cai & chiang 2011|adler & goldberg 2008|bar haim & sima an 2005|johnson 1998|green & manning 2010|sima an 1996|tsarfaty & sima an 2009|netzer & adler 2007|attia & foster 2010|goldberg & tsarfaty 2008|tsarfaty & sima an 2010	
W99-0201		0.0	grishman 1994|bagga & baldwin 1998|baldwin 1998	
W10-3002		0.0	tsai & wu 2005|ganter & strube 2009|morante & daelemans 2009	
W02-1601		0.0	matsumoto & utsuro 1993|kaji & kida 1992|sadler & vendelmans 1990|watanabe & kurohashi 2000|boitet & yusoff 1988|abeille & schabes 1990|sato & nagao 1990|shieber & schabes 1990|menezes & richardson 2001|rambow & satta 1996|meyers & kosaka 2000|meyers & yangarber 1996	
W11-2153		0.0	zabokrtsky & popel 2010|zabokrtsky & popel 2009|mcdonald & pereira 2005|charniak & johnson 2005|zhang & nivre 2011|mcdonald & pereira 2006|zabokrtsky & ptacek 2008|klein & manning 2003|vadas & curran 2007|spoustova & hajic 2007	
W08-0405		0.0	zhang & zens 2007|papineni & roukos 2002|koehn & och 2003|tillmann 2006|xia & mccord 2004|al onaizan & papineni 2006|collins & koehn 2005|och & ney 2004|nagata & saito 2006|paulik & rottmann 2007	
W98-1223		0.0	daelemans 1988|van den bosch & daelemans 1993|daelemans & durieux 1994|koskenniemi 1984	
D08-1047		0.0	ahmad & kondrak 2005|li & zhu 2006|berger & della pietra 1996|melamed 1999|chen & li 2007|bergsma & kondrak 2007|brill 1995|brill & moore 2000	
P04-1039		0.0	yarowsky 1995|diab & resnik 2002|diab 2004|melamed 1997|mihalcea & moldovan 1999	
W10-0402		0.0	mercer & dimarco 2004|councill & giles 2008|schafer & uszkoreit 2008|radev & muthukrishnan 2009|bird & dale 2008|teufel & siddharthan 2006	
S13-2016		0.0	budanitsky & hirst 2006|pedersen & patwardhan 2004|wu & palmer 1994|gutierrez & fernandez orquin 2010	
J03-3004		0.0	becker 1975|fung & mckeown 1997|zernik & dyer 1987|kaji & kida 1992|kay & roscheisen 1993|sato & nagao 1990|frederking & nirenburg 1994|brown 2000	
J05-2005		0.0	konig & lezius 2000|marcus & kim 1994|skut & krenn 1997|hirschberg & nakatani 1996|lascarides & asher 1991|polanyi & culy 2004|grosz & sidner 1986|webber & stone 2003|polanyi & scha 1984|moser & moore 1996|carletta 1996|danlos 2004|hearst 1997|webber & knott 1999|bergler 1991|rose & eugenio 1995|moore & pollack 1992	
C10-2109		0.0	daume & iii 2006|parton & mckeown 2009|menezes & quirk 2008|ma & mckeown 2009|li & zhang 2008|callison burch 2009|ittycheriah & roukos 2007|hermjakob & knight 2008|snow & o connor 2008	
W00-1313		0.0	church & hanks 1990	
P09-1063		0.0	mi & huang 2008|chiang 2007|xiong & li 2005|liu & liu 2006|liu & huang 2007|zhang & jiang 2008|huang & knight 2006|koehn & hoang 2007|koehn & och 2003|quirk & corston oliver 2006|charniak & johnson 2005|galley & hopkins 2004|galley & graehl 2006|ding & palmer 2005|huang & chiang 2007|shen & xu 2008|cowan & kucerova 2006|huang 2008|deneefe & knight 2007|huang & chiang 2005|eisner 2003|och & ney 2002|och & ney 2003|marcu & wang 2006	
P13-1042		0.0	clarke & goldwasser 2010|liang & jordan 2009|poon & domingos 2009|krishnamurthy & mitchell 2012|artzi & zettlemoyer 2011|cai & yates 2013|clark & curran 2007|goldwasser & reichart 2011|fader & soderland 2011|liang & jordan 2011|kwiatkowski & zettlemoyer 2010|yahya & berberich 2012	
N12-1038		0.0	malioutov & barzilay 2006|malioutov & park 2007|stokes 2003|pevzner & hearst 2002|georgescul & clark 2006|jancsary & matiasek 2008	
J85-4001		0.0	berwick 1982|shieber 1985	
P06-1091		0.0	collins 2002|al onaizan & florian 2003|och 2003|ittycheriah & roukos 2005|papineni & roukos 2002|koehn & och 2003|brown & della pietra 1993|shen & sarkar 2004|tillmann & zhang 2005|mcdonald & crammer 2005|chiang 2005|kumar & byrne 2005	
P07-2007		0.0	zhang & kikui 2006	
J94-4006		0.0	chester 1980|tomita 1987|seo & simmons 1989|marcus & hindle 1983|church & patil 1982|briscoe & carroll 1993|harper 1992|alshawi & crouch 1992|schabes 1991|weischedel 1989|nederhof 1993|alshawi 1990	
W00-1006		0.0	vander linden & martin 1995|marcu & amorrortu 1999|cristea & ide 1998|cristea & ide 1999|webber & knott 1999|corston oliver 1998|marcu 1998	
D07-1015		0.0	collins 2002|smith & eisner 2005|nivre & hall 2004|baldridge & osborne 2004|mcdonald & pereira 2005|mcdonald & lerman 2006|mcdonald & pereira 2006|johnson 2001|taskar & klein 2004|mcdonald & satta 2007|buchholz & marsi 2006|smith & smith 2007|mcdonald & crammer 2005|carreras 2007|kaplan & riezler 2004|sha & pereira 2003|johnson & geman 1999|eisner 1996	
W97-1409		0.0	wazinski 1992|reiter & dale 1992|andre & rist 1994	
W97-1202		0.0	somers & black 1997|reiter 1994	
E99-1018		0.0	church 1988|schmid 1994|dermatas & kokkinakis 1995|hindle 1989|brill 1995|weischedel & schwartz 1993|voutilainen 1995|cutting & kupiec 1992|mikheev 1996|daelemans & zavrel 1996	
W01-1009		0.0	lin 1994|lin 1993	
W03-0508		0.0	lin & hovy 2002|mani & house 1999|papineni & roukos 2002|donaway & drummey 2000|zechner 1996	
D07-1063		0.0	kudo & matsumoto 2002|kurohashi & nagao 1994|kudo & matsumoto 2000|sassano 2004|sekine 2000	
P08-1035		0.0	mcdonald 2006|jing 2000|vandeghinste & pan 2004|riezler & king 2003|dorr & zajic 2003|clarke & lapata 2006|galley & mckeown 2007|tromble & eisner 2006|cohn & lapata 2007	
A92-1023		0.0	walter 1992|pallett 1991|bates & ayuso 1991|hirschman & dahl 1990|boisen & ramshaw 1989|sundheim 1989|black & abney 1991|sundheim 1991|hemphill & godfrey 1990	
P10-1010		0.0	kumar & och 2007|varadi & krauwer 2008	
S10-1097		0.0	wilson & wiebe 2005|read 2005|pang & lee 2002	
W11-0414		0.0	zeyrek & webber 2008|prasad & husain 2008|xue 2005|webber & joshi 1998	
P06-2041		0.0	marcus & kim 1994|nivre & hall 2004|sagae & lavie 2005|kudo & matsumoto 2002|charniak 2000|collins & koo 2005|charniak & johnson 2005|black & jelinek 1992|taskar & klein 2004|collins 1997|cheng & asahara 2005|mcdonald & crammer 2005|nivre & scholz 2004|kudo & matsumoto 2001|johnson & geman 1999|ratnaparkhi 1997|magerman 1995	
L08-1023		0.0	lehmann & oepen 1996|gardent & kallmeyer 2003|billott & lang 1989|rogers & vijay shanker 1992	
W94-0311		0.0	pustejovsky & anick 1988|church & hanks 1989|smadja 1993|pustejovsky 1991|heid & raab 1989|marc 1987	
W91-0208		0.0	pustejovsky 1991	
P95-1020		0.0	mcroy & hirst 1993|green 1990|green & carberry 1992|green 1994	
P04-3003		0.0	knight & graehl 1998|fung & yee 1998|al onaizan & knight 2002	
C02-1066		0.0	haas 1989|pereira & warren 1983	
E89-1007		0.0	reape & thompson 1988|ritchie & pulman 1987|koskenniemi 1984	
P10-1050		0.0	collins 2002|charniak & johnson 2006|ninomiya & matsuzaki 2006|brants 2000|jeong & lin 2009|tsuruoka & tsujii 2005|lin & wu 2009|sha & pereira 2003	
W13-2130		0.0	borschinger & jones 2011	
W02-0708		0.0	lee & yi 2001|dorr 1994|levin & gates 2000|lavie & metze 2002	
P13-1083		0.0	cohn & blunsom 2009|sirts & alumae 2012|finkel & grenager 2007|mi & huang 2008|och 2003|liu & liu 2006|zhang & jiang 2008|van gael & vlachos 2009|huang & knight 2006|kudo & matsumoto 2002|papineni & roukos 2002|koehn & och 2003|blunsom & cohn 2011|watanabe & sumita 2011|galley & graehl 2006|koehn 2004|liu & lu 2009|watanabe 2012|rosti & zhang 2011|ding & palmer 2005|mi & liu 2010|zhang & fang 2011|shen & xu 2008|hopkins & may 2011|quirk & menezes 2005|lin 2004|och & ney 2003|liang & petrov 2007	
A88-1001		0.0	kalita 1986|sidner 1981|grosz & joshi 1983|creary & pollard 1985|brennan & walker 1987	
N12-1077		0.0	agirre & alfonseca 2009|budanitsky & hirst 2006|reisinger & mooney 2010|hughes & ramage 2007|croce & moschitti 2011	
W05-1202		0.0	barzilay & elhadad 2003|szpektor & tanev 2004|church & hanks 1989|lee 1999|curran & moens 2002|dolan & quirk 2004|lin 1998|weeds & weir 2003|zhitomirsky geffet & dagan 2004	
H91-1021		0.0	norton & dahl 1990|kubala & austin 1991|seneff & glass 1991|dahl & hirschman 1990|paul 1989|lang & hirschman 1988|hemphill & godfrey 1990|paul 1991	
P94-1003		0.0	scha & polanyi 1988|polanyi & scha 1984|bouma 1990|kehler 1993	
W06-1515		0.0	vijay shanker & joshi 1988|lichte & kallmeyer 2006	
W13-2318		0.0	schafer & kiefer 2011|radev & abu jbara 2012|guo & korhonen 2011|kim & pyysalo 2011|stenetorp & pyysalo 2012|mizuta & collier 2004	
E12-1021		0.0	boyd graber & blei 2007|johnson & goldwater 2009|andrzejewski & zhu 2009|thelen & riloff 2002|ramage & hall 2009|hu & boyd graber 2011|haghighi & klein 2006	
C10-1050		0.0	tillmann 2004|chiang 2007|shen & xu 2009|och 2003|tromble & eisner 2009|li & li 2007|brown & della pietra 1993|xia & mccord 2004|al onaizan & papineni 2006|collins & koehn 2005|chiang & knight 2009|nagata & saito 2006|shen & xu 2008|och & ney 2002|och & ney 2003|watanabe & tsukada 2006|li & khudanpur 2008	
C10-1026		0.0	riezler & king 2002|ninomiya & tsuruoka 2005|cramer & zhang 2009|kiefer & krieger 1999|tomabechi 1991|cahill & maxwell iii 2008|clark & curran 2007|van noord 2009|zhang & kordoni 2007|zhang & oepen 2007|cepen & carroll 2000|van noord 1997	
P97-1016		0.0	weinstein & tummala 1996|seneff 1992|brill 1992|brill 1995|grishman & sterling 1989	
H01-1027		0.0	miller & fox 2000	
W08-1510		0.0	tillmann & zhang 2005	
P09-1025		0.0	grosz & weinstein 1995|lavoie & rambow 1997|knight & hatzivassiloglou 1995|chambers & jurafsky 2008|mellish & knott 1998|grishman & macleod 1994|barzilay & lapata 2005	
L08-1554		0.0	collins 1997|baker & fillmore 1998|bejan & hathaway 2007	
W08-0125		0.0	hillard & ostendorf 2003|hsueh & moore 2007|voss & ehlen 2007|galley & mckeown 2004	
W03-0418		0.0	pereira & tishby 1993|phillips & riloff 2002|rooth & riezler 1999|thelen & riloff 2002|lin 1998|riloff & schmelzenbach 1998	
P84-1116		0.0	nagao & tsujii 1980|nishida & doshita 1982|melby 1982|nishida & doshita 1983|sawai & fukushima 1982|slocum 1983|tsujii 1982|nagao & tsujii 1982|nishida & takamatsu 1982|lytle & packard 1979	
I05-1049		0.0	becker 1975|evert & krenn 2001|bikel 2004|church & hanks 1989|schone & jurafsky 2001|smadja 1993|tapanainen & piitulainen 1998|baldwin & bannard 2003|dunning 1993|bannard & baldwin 2003|lin 1999|mccarthy & keller 2003	
D13-1186		0.0	chang & ratinov 2007|barzilay & lapata 2006|punyakanok & roth 2008|roth & yih 2004|clarke & lapata 2007|mann & mccallum 2008|koehn 2004|riedel & clarke 2006|bramsen & deshpande 2006|denis & baldridge 2007|chang & samdani 2011|marciniak & strube 2005|punyakanok & roth 2004	
W07-2062		0.0	collins & duffy 2002|moschitti 2004|swier & stevenson 2004|gildea & jurafsky 2002|xue & palmer 2004|moschitti & pighin 2006	
L08-1229		0.0	biemann 2006	
D13-1035		0.0	stolcke & coccaro 2000|kim & cavedon 2010|keizer & op den akker 2002|klein & manning 2003|artzi & zettlemoyer 2013|cadilhac & asher 2011|kim & mooney 2013	
J90-4002		0.0	moore 1989|fawcett & hirst 1986|fisher 1989|moran 1988|warren 1983|hobbs & shieber 1987	
W04-1313		0.0	gammon 1969|goldsmith 2001|hutchens & alder 1998	
W07-0720		0.0	koehn & monz 2006|koehn & monz 2005|crego & gispert 2006|costa jussa & fonollosa 2006|och 1999	
P13-2013		0.0	prasad & dinesh 2008|wilson & wiebe 2005|blair goldensohn & mckeown 2007|marcu & echihabi 2002|pitler & nenkova 2009|lin & kan 2009|pitler & louis 2009|park & cardie 2012|zhou & xu 2010	
W10-4121		0.0	kim & hovy 2004	
W06-1627		0.0	eisner & satta 1999|och & ueffing 2001|charniak & goldwater 1998|brown & della pietra 1993|wu 1997|wu 1996|wang & waibel 1997|klein & manning 2003|zens & ney 2003|zhang & gildea 2005|huang & zhang 2005	
W05-1302		0.0	collins 2002|kim & park 2004|muller & rapp 2002|pustejovsky & castano 2002|cohen & dolbey 2002	
W12-2402		0.0	krishnamurthy & mitchell 2011|carlson & betteridge 2009|wang & cohen 2009|mcintosh & curran 2009|pantel & crestan 2009|kozareva & hovy 2010|church & hanks 1990	
A00-1022		0.0	neumann & backofen 1997|hamp & feldweg 1997	
P95-1001		0.0	daelemans & durieux 1994	
I05-6003		0.0	you & chen 2004|li & huang 2004|ramshaw & marcus 1995|xue & palmer 2003|tjong kim sang & buchholz 2000|xue & chiou 2002|chiou & chiang 2001|brants 1999|zhou & su 2003|xu & lu 2004|huang & chen 2000	
W01-0714		0.0	charniak 2000|abney 1997|collins 1997|schutze 1995|brill 1993	
W06-1521		0.0	de groote 2001|schabes & joshi 1988	
W07-1430		0.0	hobbs 1985|amoia & gardent 2006	
Q13-1008		0.0	daume & iii 2006|lin & cao 2006|osborne 2002|haghighi & vanderwende 2009|celikyilmaz & hakkani tur 2010|otterbacher & erkan 2005|ramage & hall 2009|louis & joshi 2010|mason & charniak 2011	
W08-1605		0.0	moschitti & quarteroni 2007|collins thompson & callan 2004|larsson & ljunglof 2000|small & liu 2003|kato & fukumoto 2006	
P04-1052		0.0	marcus & marcinkiewicz 1993|van deemter 2000|dale & haddock 1991|van deemter 2002|krahmer & van erk 2003|reiter 1990|horacek 2003|reiter & dale 1992	
I05-1046		0.0	hildebrandt & katz 2004|moldovan & scedil 2002|melamed 1997	
P02-1064		0.0	ngai & yarowsky 2000|yarowsky 1995|kudo & matsumoto 2000|hwa 2000|yarowsky & wicentowski 2000|banko & brill 2001|kudo & matsumoto 2001	
D11-1048		0.0	hasegawa & sekine 2004|pantel & ravichandran 2004|pantel & pennacchiotti 2006|syed & viegas 2010|yates & banko 2007	
W09-2506		0.0	szpektor & tanev 2004|mccarthy & navigli 2007|pantel & bhagat 2007|yeh 2000|erk & pado 2008|zhitomirsky geffet & dagan 2005|szpektor & shnarch 2007|lin 1993|mitchell & lapata 2008	
S10-1050		0.0	davidov & rappoport 2008|hendrickx & kim 2009	
C10-1153		0.0	che & zhang 2008|bikel 2004|petrov & klein 2007|marquez & surdeanu 2005|toutanova & haghighi 2008|hajic & ciaramita 2009|pradhan & ward 2005|chen & zhang 2006|klein & manning 2003|li & zhou 2009|koomen & punyakanok 2005|toutanova & klein 2003|xue 2008|sun & jurafsky 2004|sun & sui 2009|kudo & matsumoto 2001|punyakanok & roth 2004|ding & chang 2008	
W12-6209		0.0	hulden 2009|riley & allauzen 2009	
W98-1115		0.0	marcus & marcinkiewicz 1993|goodman 1996|goodman 1997|bobrow 1991|kochman & kupin 1991|collins 1997|miller & fox 1994|magerman & marcus 1991|chitrao & grishman 1990|caraballo & charniak 1998|ratnaparkhi 1997|magerman 1995	
A00-1034		0.0	mohri 1997|mikheev 1999|borthwick & sterling 1998|krupka & hausman 1998|bikel & miller 1997	
P98-2134		0.0	chang & chen 1997|church 1988|gale & church 1991|wolinski & vichot 1995|kay & roscheisen 1993|brown & della pietra 1993|tillmann & vogel 1997|ide & veronis 1994|van der eijk 1993|kupiec 1993|church 1993|sumita & iida 1991|daille & gaussier 1994|brown & lai 1991|melamed 1997|smadja & hatzivassiloglou 1996|wakao & gaizauskas 1996|dagan & church 1994	
W05-1517		0.0	johnson 2001|taskar & klein 2004|geman & johnson 2002|schmid & rooth 2001|clark & curran 2004|cepen & carroll 2000|carroll & briscoe 2002|kaplan & riezler 2004	
E95-1031		0.0	kwasny 1981|carbonnell & hayes 1983|schank & lebowitz 1980|hayes & mouradian 1981|mellish 1989|black & abney 1991	
L08-1136		0.0	woods 2000	
W12-1611		0.0	georgila & wolters 2010|leuski & patel 2006|misu & sugiura 2010|varges & weng 2006|ai & litman 2008	
W07-1705		0.0	yangarber & lin 2002	
C10-2020		0.0	alshawi & van eijck 1989|rinaldi & dowdall 2003	
P03-2031		0.0	sassano & utsuro 2000|lee & cha 2002|zhou & su 2002|borthwick & sterling 1998	
W10-2910		0.0	collins 2002|nguyen & moschitti 2009|giuglea & moschitti 2006|wilson & wiebe 2005|collins & duffy 2002|pang & lee 2002|dinarelli & moschitti 2009|wiebe & bruce 1999|kobayashi & inui 2007|joshi & rose 2009|choi & breck 2006|tjong kim sang & veenstra 1999|moschitti 2006|kim & hovy 2006|johansson & nugues 2008|zhang & zhang 2006|baker & fillmore 1998|suzuki & hirao 2003|huang 2008|somasundaran & namata 2009|shen & joshi 2003|ruppenhofer & somasundaran 2008|wu & zhang 2009|palmer & gildea 2005|yu & hatzivassiloglou 2003|basili & cammisa 2005	
C10-2090		0.0	grosz & weinstein 1995|choi & cardie 2005|pang & lee 2002|du & tan 2009|popescu & etzioni 2005|riloff & wiebe 2003|turney 2002|kim & hovy 2006|ruppenhofer & somasundaran 2008	
P13-2151		0.0	fleck 2008	
P13-2137		0.0	broda & derwojedowa 2008|mcdonald & lerman 2006|baroni & lenci 2010|erk & pado 2010|mohammad & gurevych 2007	
S12-1087		0.0	sellberg & jonsson 2008|clarke 2012|widdows & ferraro 2008|agirre & cer 2012|basile & caputo 2011	
W06-1504		0.0	schabes & waters 1995|wu 1997|rogers 1994|satta & schuler 1998	
S10-1086		0.0	tanaka & bond 2007|cai & lee 2007	
W97-0105		0.0	marcus & marcinkiewicz 1993|ushioda 1996|brown & desouza 1992|black & eubank 1996|jelinek & lafferty 1994|black & jelinek 1993|wang & chang 1994|schabes 1992|collins 1996|sharman & jelinek 1990|brill 1993|magerman 1995|eisner 1996	
E87-1003		0.0	bear 1986|russell & pulman 1986|ritchie & pulman 1987|barton jr 1986	
W04-2113		0.0	bilac & baldwin 2002|proszeky & kis 2002	
C10-1133		0.0	stede 1993|edmonds 1997|reiter & sripada 2002|inkpen & hirst 2006|edmonds & hirst 2002|ouyang & gao 2009	
C10-1129		0.0	toutanova & klein 2003|collins & roark 2005|biadsy & hirschberg 2008|toutanova & manning 2000	
A88-1012		0.0	calzolari 1984|jensen & heidorn 1983|byrd & calzolari 1987|chodorow & byrd 1985	
W06-1642		0.0	wilson & wiebe 2005|hatzivassiloglou & mckeown 1997|kanayama & nasukawa 2004|popescu & etzioni 2005|riloff & wiebe 2003|turney 2002|pang & lee 2004|yu & hatzivassiloglou 2003	
P00-1006		0.0	och & tillmann 1999|berger & della pietra 1996|brown & della pietra 1993|foster 2000|nieben & vogel 1998	
P00-1065		0.0	blaheta & charniak 2000|hearst 1999|collins 1997|baker & fillmore 1998|lin 1998|lapata & brew 1999|miller & stallard 1996|riloff & schmelzenbach 1998	
N06-1058		0.0	lin & och 2004|haghighi & ng 2005|banerjee & lavie 2005|harabagiu & moldovan 2001|quirk & brockett 2004|serafin & eugenio 2004|barzilay & lee 2003|melamed & green 2003|papineni & roukos 2002|brown & desouza 1992|edmonds & hirst 2002|koehn 2004|pang & knight 2003|babych & hartley 2004|miller & guinness 2004	
W12-4104		0.0	thater & furstenau 2010|hughes & ramage 2007|minkov & cohen 2008|lin 1998|pado & lapata 2007|mirkin & dagan 2006	
P06-4016		0.0	nerbonne & smit 1996	
W13-2908		0.0	aluisio & gasperin 2010|shardlow 2013|dell orletta & montemagni 2011|yatskar & pang 2010|biran & brody 2011	
N04-1040		0.0	chen & farahat 2003|brill & wu 1998	
P13-1134		0.0	tonelli & pighin 2009|tonelli & pianta 2009|navigli & ponzetto 2010|johansson & nugues 2006|tonelli & giuliano 2009|mohit & narayanan 2003|niemann & gurevych 2011|artstein & poesio 2008|agirre & soroa 2009|narayanan & harabagiu 2004|baker & fillmore 1998|de cao & croce 2008|borin & forsberg 2012|gurevych & eckle kohler 2012	
W04-2807		0.0	pustejovsky 1991|ng & wang 2003|buitelaar 2000	
E09-2006		0.0	hamp & feldweg 1997	
N13-1128		0.0	hixon & passonneau 2012|janarthanam & lemon 2010|grosz & sidner 1986|grosz 1983|demberg & moore 2006|polifroni & walker 2008|chotimongkol & rudnicky 2008|hastie & liu 2009|varges & weng 2006|selfridge & heeman 2010	
H93-1017		0.0	murveit & butzberger 1991|murveit & butzberger 1992	
W07-2029		0.0	dagan & glickman 2006|glickman & shnarch 2006|glickman & dagan 2006	
W10-4144		0.0	collins 2002|collins & duffy 2002|petrov & barrett 2006|petrov & klein 2007|collins & koo 2005|charniak & johnson 2005|gao & andrew 2007	
W06-2911		0.0	lee & ng 2002|strapparava & gliozzo 2004|florian & yarowsky 2002|florian & ittycheriah 2003|ando & zhang 2005|kohomban & lee 2005|grozea 2004|wu & su 2004	
P13-1078		0.0	nguyen & mahajan 2007|chiang 2007|och 2003|koehn & hoang 2007|papineni & roukos 2002|clark & dyer 2011|koehn & och 2003|turian & ratinov 2010|brown & della pietra 1993|och & ney 2000|le & allauzen 2012|deselaers & hasan 2009|koehn 2004|hopkins & may 2011|chiang & marton 2008|chiang 2005|xiao & zhu 2010|och & ney 2002|watanabe & suzuki 2007|duh & kirchhoff 2008	
W12-0902		0.0	bod 2006|teichmann 2011|clark & eyraud 2006|bansal & klein 2011|post & gildea 2009|huang & chiang 2005	
P07-1055		0.0	collins 2002|liang & bouchard cote 2006|thomas & pang 2006|choi & cardie 2005|pang & lee 2002|baldridge & osborne 2004|miller & fox 2000|roth & yih 2004|choi & breck 2006|turney 2002|taskar & klein 2004|pang & lee 2004|mcdonald & crammer 2005	
P04-3013		0.0	weischedel & schwartz 1993|ando 2004	
W03-0429		0.0	brants 2000|tjong kim sang & de meulder 2003	
W93-0114		0.0	liddy & mcvearry 1993|paik & liddy 1993|liddy & paik 1993	
P98-2151		0.0	watanabe 1996|hovy & lin 1997	
