id	Precision	Recall	Truth	Predicted
P95-1001		0.0	Gary Tajchman|Daniel Jurafsky|Eric Fosler Lussier	
W04-1615		0.0	Martin Hassel|Nima Mazdak	
E83-1009		0.0	Werner Frey|Uwe Reyle	
I05-6003		0.0	Jia Lin Tsai	
W01-0714		0.0	Dan Klein|Christopher D Manning	
L08-1159		0.0	Laurence Devillers|Jean Claude Martin	
W06-1521		0.0	Sylvain Salvati	
C80-1050		0.0	Hiroshi Nakano|Shin Ichi Tsuchiya|Akio Tsuruoka	
J94-3011		0.0	John Coleman	
W07-1430		0.0	Marilisa Amoia|Claire Gardent	
Q13-1008		0.0	Jiwei Li|Sujian Li	
W08-1605		0.0	Silvia Quarteroni	
P04-1052		0.0	Advaith Siddharthan|Ann Copestake	
C04-1196		0.0	Octavian Popescu|Vincent Aleven|Kenneth Koedinger	
I05-1046		0.0	Yi Chia Wang|Jian Cheng Wu|Tyne Liang|Jason S Chang	
P02-1064		0.0	Manabu Sassano	
D11-1048		0.0	Bryan Rink|Sanda M Harabagiu	
W09-2506		0.0	Stefan Thater|Georgiana Dinu|Manfred Pinkal	
C90-1019		0.0	Pierre Zweigenbaum|Marc Cavazza	
C73-2008		0.0	F Knowles	
S10-1050		0.0	Yuan Chen|Man Lan|Jian Su|Zhi Min Zhou|Yu Xu	
C10-1153		0.0	Tao Zhuang|Chengqing Zong	
W12-6209		0.0	Kenneth R Beesley	
W98-1115		0.0	Eugene Charniak|Sharon Goldwater|Mark Johnson	
H91-1028		0.0	Christian Gagnoulet|Christel Sorin	
X96-1022		0.0	Virginia Cevasco	
A00-1034		0.0	Rohini K Srihari|Cheng Niu|Wei Li	
P98-2134		0.0	Raquel Martínez|Joseba Abaitua|Arantza Casillas	
W05-1517		0.0	Rebecca Watson|John Carroll|Ted Briscoe	
E95-1031		0.0	Kong Joo Lee|Cheoljung Kweon|Jungyun Seo|Gilchang Kim	
L08-1136		0.0	Igor Leturia|Antton Gurrutxaga|Nerea Areta|Eli Pociello	
J79-1033b		0.0	Rodger Knaus	
W12-1611		0.0	Teruhisa Misu|Kallirroi Georgila|Anton Leuski|David Traum	
W07-1705		0.0	Malgorzata Marciniak|Agnieszka Mykowiecka	
H91-1084		0.0	Harvey F Silverman	
C10-2020		0.0	Peter Clark|Philip Harrison	
P03-2031		0.0	Joohui An|Seungwoo Lee|Gary Geunbae Lee	
W10-2910		0.0	Richard Johansson|Alessandro Moschitti	
A97-2021		0.0	Stephanie S Everett|Kenneth Wauchope|Manuel A Pfirez	
C10-2090		0.0	Tengfei Ma|Xiaojun Wan	
P13-2151		0.0	Robert Daland|Kie Zuraw	
P13-2137		0.0	Jan Šnajder|Sebastian Padó|Željko Agić	
S12-1087		0.0	Annalina Caputo|Pierpaolo Basile|Giovanni Semeraro	
W06-1504		0.0	David Chiang	
S10-1086		0.0	Sanae Fujita|Kevin Duh|Akinori Fujino|Hirotoshi Taira|Hiroyuki Shindo	
W97-0105		0.0	Ezra W Black|Stephen Eubank|Hideki Kashioka|David M Magerman	
E87-1003		0.0	Alan W Black|Graeme D Ritchie|Stephen G Pulman|Graham J Russell	
W07-1213		0.0	Ales Horak|Karel Pala|Marie Duzi|Pavel Materna	
W04-2113		0.0	Michael Maxwell|William Poser	
P10-2021		0.0	Jian Cheng Wu|Yu Chia Chang|Teruko Mitamura|Jason S Chang	
C10-1133		0.0	Tong Wang|Graeme Hirst	
C67-1022		0.0	J A Bachrach	
C10-1129		0.0	William Yang Wang|Kathleen R McKeown	
A88-1012		0.0	Mary S Neff|Roy J Byrd|Omneya A Rizk	
W06-1642		0.0	Hiroshi Kanayama|Tetsuya Nasukawa	
P00-1006		0.0	George Foster	
P00-1065		0.0	Daniel Gildea|Daniel Jurafsky	
J12-2011		0.0	Constantin Orăsan	
N06-1058		0.0	David Kauchak|Regina Barzilay	
W12-4104		0.0	Einat Minkov|William Cohen	
W10-3105		0.0	Veronika Vincze	
C69-4001		0.0	J A Moyne	
P06-4016		0.0	Eric Wehrli	
W13-2908		0.0	Matthew Shardlow	
N04-1040		0.0	Francine R Chen|Ayman Farahat|Thorsten Brants	
P13-1134		0.0	Silvana Hartmann|Iryna Gurevych	
T87-1015		0.0	Eugene Charniak	
W04-2807		0.0	Martha Palmer|Olga Babko Malaya|Hoa Trang Dang	
E09-2006		0.0	Rüdiger Gleim|Ulli Waltinger|Alexandra Ernst|Alexander Mehler|Tobias Feith|Dietmar Esch	
N13-1128		0.0	Ben Hixon|Rebecca J Passonneau	
H93-1017		0.0	Hy Murveit|John Butzberger|Vassilios Digalakis|Mitchel Weintraub	
W07-2029		0.0	Claudio Giuliano|Alfio Massimiliano Gliozzo|Carlo Strapparava	
W10-4144		0.0	Weiwei Sun|Rui Wang|Yi Zhang	
W06-2911		0.0	Rie Kubota Ando	
P13-1078		0.0	lemao|Taro Watanabe|Eiichiro Sumita|Tiejun Zhao	
W09-3530		0.0	Dayne Freitag|Zhiqiang Wang	
W12-0902		0.0	Rens Bod|Margaux Smets	
H94-1068		0.0	C Che|Q Lin|J Pearson|B De Vries|J L Flanagan	
P07-1055		0.0	Ryan McDonald|Kerry Hannan|Tyler Neylon|Mike Wells|Jeffrey C Reynar	
P04-3013		0.0	Rie Kubota Ando	
W03-0429		0.0	James Mayfield|Paul McNamee|Christine Piatko	
W93-0114		0.0	Woojin Paik|Elizabeth D Liddy|Edmund S Yu|Mary McKenna	
P98-2151		0.0	Katashi Nagao|Koiti Hasida	
N12-2006		0.0	Woodley Packard	
D10-1059		0.0	Samidh Chatterjee|Nicola Cancedda	
W09-3953		0.0	Jun Hu|Rebecca J Passonneau|Owen Rambow	
E06-1037		0.0	Joel R Tetreault|Diane J Litman	
L08-1502		0.0	Florian Schiel|Christian Heinrich|Sabine Barfüsser|Thomas Gilg	
W99-0602		0.0	Michel Simard	
W98-1436		0.0	Attila Ferencz|Teodora Ratiu|Maria Ferencz|Tonde Csilla Kovacs|István Nagy|Diana Zaiu Inkpen	
C00-2098		0.0	Tobias Ruland	
P11-2061		0.0	Naushad UzZaman|James F Allen	
P87-1013		0.0	William C Rounds|Alexis Manaster Ramer	
W12-1620		0.0	Fabrizio Morbini|Eric Forbell|David DeVault|Kenji Sagae|David Traum|Albert Rizzo	
P12-2042		0.0	Christian Chiarcos	
D10-1019		0.0	Xian Qian|Qi Zhang|Yaqian Zhou|Xuanjing Huang|Lide Wu	
C90-3001		0.0	Anne Abeille|Yves Schabes|Aravind K Joshi	
E93-1027		0.0	Masaki Kiyono|Jun ichi Tsujii	
W08-0707		0.0	ōiwi Parker Jones	
H92-1086		0.0	Steven Abney	
W97-0121		0.0	Andrei Mikheev	
W01-0504		0.0	Philipp Koehn|Kevin Knight	
P91-1051		0.0	Ben E Cline	
C10-2027		0.0	Amitava Das|Sivaji Bandyopadhyay	
J07-4003		0.0	Noah A Smith|Mark Johnson	
W05-0807		0.0	Elliott Franco Drabek|David Yarowsky	
C08-2009		0.0	Markus Egg|Michaela Regneri	
C96-1092		0.0	Erhard W Hinrichs|Tsuneko Nakazawa	
D09-1099		0.0	Eduard Hovy|Zornitsa Kozareva|Ellen Riloff	
W04-2008		0.0	Lei Shi|Rada Mihalcea	
C10-3010		0.0	Timothy Baldwin|Jonathan Pool|Susan Colowick	
P06-1013		0.0	Samuel Brody|Roberto Navigli|Mirella Lapata	
N09-1012		0.0	William P Headden III|Mark Johnson|David McClosky	
C96-1004		0.0	Hang Li|Naoki Abe	
J93-4002		0.0	K Vijay Shanker|David Weir	
P01-1061		0.0	William Schuler	
C08-1141		0.0	Ming Zhou|Bo Wang|Shujie Liu|Mu Li|Dongdong Zhang|Tiejun Zhao	
C82-2051		0.0	Naoyuki Okada|Aiko Miura	
T78-1035		0.0	Thomas Wasow	
N13-2004		0.0	Franky Franky	
A94-1027		0.0	Makoto Iwayama|Takenobu Tokunaga	
P95-1015		0.0	Diane J Litman|Rebecca J Passonneau	
E12-2014		0.0	Timothy Baldwin|Paul Cook|Bo Han|Aaron Harwood|Shanika Karunasekera|Masud Moshtaghi	
D11-1023		0.0	Amit Goyal|Hal Daumé III	
W12-3132		0.0	Ondřej Dušek|Zdeněk Žabokrtský|Martin Popel|Martin Majliš|Michal Novák|David Mareček	
W08-0614		0.0	Hong Yu|Nadezhda Frid|Susan W McRoy|Rashmi Prasad|Alan Lee|Aravind K Joshi	
C96-2138		0.0	Takehiro Nakayama	
P12-1045		0.0	David Chen	
C08-1060		0.0	Kevin Lerman|Ari Gilder|Mark Dredze|Fernando Pereira	
L08-1493		0.0	Nikos Tsourakis|Maria Georgescul|Pierrette Bouillon|Manny Rayner	
M92-1003		0.0	Nancy A Chinchor	
T75-2025		0.0	William C Mann	
J96-2003		0.0	John G McMahon|Francis J Smith	
P80-1009		0.0	Aravind K Joshi	
W98-0904		0.0	Jochen Trommer	
J11-3001		0.0	Hanshi Wang|Jian Zhu|Shiping Tang|Xiaozhong Fan	
W10-3604		0.0	Mugdha Bapat|Harshada Gune|Pushpak Bhattacharyya	
W04-1310		0.0	Aarre Laakso|Linda Smith	
E99-1050		0.0	Mark Stevenson	
P12-2003		0.0	Wanxiang Che|Valentin Spitkovsky|Ting Liu	
L08-1113		0.0	Germán Sanchis|Joan Andreu Sánchez	
W97-0314		0.0	Roberto Basili|Gianluca Rossi|Maria Teresa Pazienza	
L08-1474		0.0	Theodoros Kostoulas|Todor Ganchev|Iosif Mporas|Nikos D Fakotakis	
W07-2105		0.0	Willem Robert Van Hage|Sophia Katrenko	
J10-4015		0.0	Robin Lee Nagano|Philip Jonathan|Pauline Ziman	
P13-4022		0.0	Pieter Wellens|Remi Trijp|Katrien Beuls|Luc Steels	
P12-2024		0.0	Yashar Mehdad|Matteo Negri|Marcello Federico	
X96-1011		0.0	James R Cowie	
W09-3936		0.0	Agustín Gravano|Julia Hirschberg	
P99-1066		0.0	Don Blaheta|Eugene Charniak	
W10-1826		0.0	Lars Hellan	
S13-2047		0.0	Sergio Jimenez|Claudia Becerra|Alexander Gelbukh	
C94-2130		0.0	Gerrit Rentier	
W10-3701		0.0	Kyo Kageura	
W03-1719		0.0	Richard W Sproat|Thomas Emerson	
L08-1565		0.0	Toni Badia|Maite Melero|Oriol Valentín	
P83-1006		0.0	Eric Mays	
C80-1034		0.0	Thomas R Hofmann	
W09-3731		0.0	Roussanka Loukanova	
W10-2305		0.0	Martijn Wieling|John Nerbonne	
W03-1304		0.0	Wen Juan Hou|Hsin Hsi Chen	
W05-1008		0.0	Timothy Baldwin	
W04-0812		0.0	Marisa Ulivieri|Elisabetta Guazzini|Francesca Bertagna|Nicoletta Calzolari	
W05-1506		0.0	Liang Huang|David Chiang	
H94-1119		0.0	Aravind K Joshi|Mitchell P Marcus|Mark Steedman|Bonnie Lynn Webber	
W06-1419		0.0	Cécile L Paris|Nathalie Colineau|Ross Wilkinson	
P08-3004		0.0	Shasha Liao	
H01-1038		0.0	Lynette Hirschman|Kristian Concepcion|Laurie E Damianos|David S Day|John Delmore|Lisa Ferro|John Griffith|John C Henderson|Jeff Kurtz|Inderjeet Mani|Scott Mardis|Tom McEntee|Keith Miller|Beverly Nunam|Jay Ponte|Florence M Reeder|Benjamin Wellner|George Wilson|Alexander S Yeh	
S13-2009		0.0	Michele Filannino|Gavin Brown|Goran Nenadic	
P03-1010		0.0	Masao Utiyama|Hitoshi Isahara	
W03-2125		0.0	Gregory Aist|Manny Rayner|John Dowding|Beth Ann Hockey|Susana Early|James Hieronymus	
S13-2087		0.0	Harshit Jain|Aditya Mogadala|Vasudeva Varma	
W07-1409		0.0	Peter Clark|Philip Harrison|John Thompson|William R Murray|Jerry R Hobbs|Christiane Fellbaum	
C86-1088		0.0	Manfred Pinkal	
T75-2014		0.0	Bertram C Bruce	
L08-1460		0.0	Mohamed Maamouri|Ann Bies|Seth Kulick	
W11-0612		0.0	Mattias Nilsson|Joakim Nivre	
W08-1809		0.0	Kisuh Ahn|Bonnie Lynn Webber	
P91-1049		0.0	Eric Iverson|Stephen Helmreich	
P11-2112		0.0	Jun Suzuki|Hideki Isozaki|Masaaki Nagata	
A97-2005		0.0	Timo Jarvinen|Pasi Tapanainen	
D10-1031		0.0	Eduardo Blanco|Dan Moldovan	
W13-4042		0.0	Timo Baumann|David Schlangen	
D10-1044		0.0	George Foster|Cyril Goutte|Roland Kuhn	
W07-0312		0.0	Helen Hastie|Patrick Craven|Michael Orr	
A00-3006		0.0	Derrick Higgins	
J86-2002		0.0	Jugal K Kalita	
C08-1130		0.0	Yuhang Yang|Qin Lu|Tiejun Zhao	
S13-1020		0.0	Alberto Barrón Cedeño|Lluís Màrquez|Maria Fuentes|Horacio Rodriguez|Jordi Turmo	
I08-2103		0.0	Ji Donghong|Yu Nie	
W10-3216		0.0	Rafiya Begum|Dipti Misra Sharma	
C04-1163		0.0	Bernardo Magnini|Manuela Speranza|Christian Girardi	
W07-2077		0.0	Beñat Zapirain|Eneko Agirre|Lluís Màrquez	
C94-2153		0.0	Ming Zhou|Changning Huang	
J03-1006		0.0	Mark Jan Nederhof	
C02-1014		0.0	Arantza Díaz de Ilarraza|Aingeru Mayor|Kepa Sarasola	
P10-4001		0.0	Emily M Bender|Scott Drellishak|Antske Fokkens|Michael Wayne Goodman|Daniel P Mills|Laurie Poulson|Safiyyah Saleem	
N10-1144		0.0	Advaith Siddharthan|Napoleon Katsos	
W10-3803		0.0	Jie Jiang|Jinhua Du|Andy Way	
D07-1116		0.0	Nizar Habash|Ryan Gabbard|Owen Rambow|Seth Kulick|Mitchell P Marcus	
P08-2047		0.0	Sophia Katrenko|Pieter Adriaans	
C02-2022		0.0	Lynne J Cahill|Carole Tiberius	
C69-0701		0.0	A J M Szanser	
J98-4004		0.0	Mark Johnson	
W10-1731		0.0	Francisco Zamora Martinez|Germán Sanchis	
J93-3001		0.0	Nancy A Chinchor|David D Lewis|Lynette Hirschman	
P01-1031		0.0	Jonathan Ginzburg|Robin Cooper	
N07-4006		0.0	Václav Novák	
P10-1132		0.0	Omri Abend|Roi Reichart|Ari Rappoport	
P10-2014		0.0	Yoshihide Kato|Shigeki Matsubara	
J03-1001		0.0	Jinyun Ke|Mieko Ogura|William S Y Wang	
H89-2071		0.0	James F Allen|Lenhart K Schubert	
J79-1067		0.0	James A Moore|James A Lenin|William C Mann	
S12-1007		0.0	Sophia Katrenko	
T87-1019		0.0	Julia Hirschberg	
D13-1194		0.0	Wiltrud Kessler|Jonas Kuhn	
D09-1002		0.0	Hagen Fürstenau|Mirella Lapata	
H91-1017		0.0	Sheryl R Young	
P11-4012		0.0	Daniel Ortiz Martínez|Luis A Leiva|Vicent Alabau|Ismael García Varea|Francisco Casacuberta	
J82-1002		0.0	Stuart C Shapiro	
P10-1005		0.0	Nils Reiter|Anette Frank	
W09-3941		0.0	Amanda J Stent|Martin Molina	
W12-1204		0.0	Marion Tellier|Brahim Azaoui|Jorane Saubesty	
W09-1602		0.0	Xiaodan Zhuang|Jui Ting Huang|Mark Hasegawa Johnson	
P07-1085		0.0	Feifan Liu|Yang Liu	
D12-1023		0.0	Michael White|Rajakrishnan Rajkumar	
N01-1002		0.0	Hua Cheng|Massimo Poesio|Renate Henschel|Chris S Mellish	
D10-1003		0.0	Jackie Chi Kit Cheung|Gerald Penn	
P13-1118		0.0	Britta Zeller|Jan Šnajder|Sebastian Padó	
D11-1093		0.0	Tong Wang|Graeme Hirst	
D13-1132		0.0	Jinpeng Wang|Wayne Xin Zhao|Haitian Wei|Hongfei Yan|Xiaoming Li	
J06-2005		0.0	Roberto Navigli	
P06-2026		0.0	Gaolin Fang|Hao Yu|Fumihito Nishino	
P79-1010		0.0	John F Sowa	
C90-3012		0.0	Carson T Schutze|Peter A Reich	
E93-1038		0.0	Marc Van Oostendorp	
D08-1082		0.0	Wei Lu|Hwee Tou Ng|Wee Sun Lee|Luke Zettlemoyer	
P07-1107		0.0	Aria Haghighi|Dan Klein	
P93-1034		0.0	Hinrich Schütze	
N09-2058		0.0	Huayan Zhong|Amanda J Stent	
P10-1092		0.0	Jeffrey Heinz	
I05-1079		0.0	Atsushi Fujita|Kentaro Inui|Yuji Matsumoto	
P84-1051		0.0	Anne Marie Laurian	
W10-4331		0.0	Kotaro Funakoshi|Mikio Nakano|Kazuki Kobayashi|Takanori Komatsu|Seiji Yamada	
L08-1060		0.0	Michael Mohler|Rada Mihalcea	
W10-4106		0.0	Yali Li|Weiqun Xu|Yonghong Yan	
E89-1018		0.0	Ulrich Heid|Sybille Raab	
H93-1051		0.0	Claudia Leacock|Geoffrey Towell|Ellen M Voorhees	
W04-1506		0.0	Maxux J Aranzabe|Jose Maria Arriola|Arantza Díaz de Ilarraza	
C65-1031		0.0	D Lieberman|D Lochak|K Ochel	
